real_name,DIN_pbias,DIN_2009,DIN_2010,DIN_2011,DIN_2012,DIN_2013,DIN_2014,DIN_2015,DIN_2016,DIN_2017
314,-94.5708769375328,1240365.9260832912,2156321.720107552,1135994.8682725504,919986.2287535727,327121.83948981884,176071.67930566747,420663.19564981724,1429108.7295196687,178327.5937473742
315,-96.6926703783122,2023792.7444357146,3584397.9300206886,1824245.0227120435,1525144.2756087955,571379.1282997272,291815.5211972048,693686.0400663399,2279050.752321536,312503.4048042487
316,-96.44790276206656,1678704.0287992032,2806580.4980711606,1518950.373270196,1340447.126446546,601625.8985492622,374485.9196602295,841709.9768172533,2529483.9846611978,510918.8517415391
317,-96.87822039411917,2083564.0109149278,3590613.1058902848,1899536.3444394518,1581467.9713170792,606263.4535581452,341816.78835740255,797200.3221077102,2593512.8532949775,391025.5367727504
318,-92.69576485849504,935914.4004403446,1654187.761683613,865078.2412147955,695687.5098434959,231502.9023296996,119844.91070342295,297998.6958192603,1022956.5419386075,111182.21537539802
319,-93.19431924437995,980183.3115314827,1721867.5051050216,859084.4131934484,740425.8826764281,287544.2918074957,146395.53138462862,340840.25653092714,1125126.83144587,167609.89684067015
320,-96.86645840381964,1999398.1346253792,3413037.272741805,1804577.0210388917,1562661.672213854,627806.2078586943,369626.92727293255,864645.4624296069,2713302.2473770184,477827.0201819821
321,-95.89164060699042,1471900.0694383117,2341539.763771046,1356862.1600965203,1145014.2271669318,449134.24046254,311667.98047237017,722713.9540624401,2331622.612942121,420206.9196687486
322,-95.60470557530739,1381978.706363265,2293951.8472606107,1262111.3857931693,1083887.9259234746,461475.87229524273,291871.6842061629,661226.4347376917,2041451.2700007702,383935.0783588119
323,-93.92559213414151,1019609.4595458246,1758532.860590866,912586.8673583054,805575.8062669501,338673.94777129847,195074.5101183811,454700.08143655525,1390226.2113715953,260845.17739442334
324,-96.72556851162905,1884776.065113748,3089101.116205211,1754211.2604101722,1449777.663326741,576268.1412475846,378680.6518804024,866107.4669376848,2765854.4741035504,472913.7915429131
325,-97.10937041278255,2005882.3337266876,3253385.4448132603,1818029.2230683204,1619675.4804004144,737746.4326690218,487110.0793704911,1093421.6352507304,3286601.212754933,693466.5572244088
326,-95.49439031373171,1352173.700853253,2303165.0754949087,1198601.7904054585,1081944.4951301978,467947.17776753596,276195.12720961537,633988.0512086439,1925572.3975004994,380844.05779102095
327,-97.03726642721728,1914999.4973277657,2955790.2220170363,1772230.1881723483,1539187.161912597,683414.7004283303,498794.1579158492,1119471.2677572938,3432290.543856417,714199.9067493355
328,-96.7982863499178,1809747.3155846922,2957132.5276152543,1635506.4815892926,1466782.085014746,671033.365332403,437981.9648522,986608.5336894278,2945633.493144133,627921.4347107733
329,-96.33886885946099,1732202.555269147,2927175.62518667,1585775.6712342778,1328159.1159935202,520800.42106088967,312990.86918326595,724775.5223323174,2326869.854571507,380736.4067195875
330,-95.3177413907921,1370676.5699962603,2409738.847182993,1217360.625517902,1065851.772798786,435793.4793354353,232502.23637148188,542561.1780886266,1692592.3510340455,290402.00105268834
331,-95.40815255624277,1467107.720283988,2663210.041741398,1301560.0575002842,1114506.0361048707,436368.90114316146,206017.88623103962,484805.4127378787,1547014.8426621158,219163.26712839943
332,-96.17879622708627,1661376.5191730272,2894884.1568228514,1479959.0171272107,1297889.5033377141,526477.6171809351,290861.7290993449,683919.3851777526,2133982.0706034964,374172.51706659776
333,-95.25265746125946,1363035.867482045,2414052.5364982802,1203301.8970123052,1054443.7009323458,436305.02791882766,227117.8433045484,523662.8837120802,1632437.2637674382,276206.1694046812
334,-96.55862790861988,1852808.361219929,3212659.4116277834,1658781.5341387694,1433849.1400224457,585474.4784325261,325046.06054070254,752982.8919286794,2368839.3387155375,405090.41544332483
335,-97.05122071257131,1976349.4471691013,3277427.484206129,1785004.2712058509,1600505.8065417053,746115.8086557869,473361.45858789986,1055809.0468331894,3119211.981449863,665826.5718627052
336,-95.27815005485077,1412495.9115001739,2473733.618318754,1260903.95643231,1065206.4704171568,396312.20372390904,207237.1975605009,493399.9110207138,1638471.1894299185,232097.3384817985
337,-96.18920769149062,1573232.2996497308,2608085.7874002117,1450733.1129475613,1242663.946465391,540087.8172403055,345607.00662249443,780569.8096010177,2375689.4654857884,457844.9042854455
338,-94.7035595515524,1328687.8869383791,2421432.586164242,1184513.5433623148,983223.7173216754,343383.4373727684,149874.44784581946,369260.51351685566,1275166.0460105063,128428.06650338408
339,-93.12159187724119,998303.8237066347,1831435.5252044871,876790.826701926,757157.8796193327,285425.2364872549,126497.45952124514,304672.7247677089,992869.2160865807,128583.15449990483
340,-93.94268278121483,1095093.8391760276,1895667.7305042606,1005062.0661948073,824537.05954668,289872.0727276512,163090.05134607825,393543.79158835293,1313838.3176353266,175253.63661300717
341,-93.92581936115266,1110074.02684358,2001186.1985012535,983431.1393855223,843368.3847979315,315423.4433298262,151659.57029395757,367730.3750731998,1196932.3549214618,166286.3704178437
