real_name,DIN_2010,DIN_2011,DIN_2012,DIN_2013,DIN_2014,DIN_2015
38,2887429.5429357034,1542259.1600729397,1406032.2060387328,645014.0259223765,403275.2461789199,903026.6733223215
39,2238783.776487684,1170462.6594167044,965509.8934283674,347304.2866256915,188700.58878679035,454643.19895101286
40,2560813.3948576716,1332149.4855429532,1123770.5919147376,455529.54282094777,250724.73610528675,579692.8271647288
41,1567832.638808836,833450.0283150177,670596.5395443771,215788.16395518443,118633.68577730162,293930.6386271116
42,2563426.025647086,1216818.6683120846,1031819.595048354,369980.0317023947,149466.93795259428,373102.219867489
43,2427063.649837137,1206780.7827039217,1008504.2315312747,380555.7486999301,180878.02859464762,430956.9665537417
44,3289883.360176599,1764219.8945760357,1455038.0406113288,563349.3906179485,326326.05755963555,752396.1446028724
45,1724727.9057602556,912997.0379603185,705895.286970269,231701.75102300788,117620.8331508082,281980.3452453191
46,3815267.5867017903,1991462.801361197,1724535.526110068,695971.5038988994,397819.28615614277,927356.34889208
47,1995055.2555387134,972199.4230954013,800892.7101184729,264263.48457751377,110499.1627010219,279055.45563452743
48,2108110.2248145356,1094045.0236501163,862021.0729241441,259844.97070124288,125912.19619177151,320195.2246027466
49,1541914.5025970966,758395.2798203478,619379.2796681456,203125.02158754485,87523.45768629786,221200.1432825345
50,2619724.7445181445,1394053.8447373933,1173342.4621497255,485279.89339875476,280010.8350180269,641974.4368803885
51,3060440.2985644583,1880913.648779176,1629960.8334431623,730068.6075948572,547806.4069697607,1228173.7310349941
52,2618954.393368854,1319291.4733097984,1089122.4842078686,378365.07397398725,180838.8107472537,447306.0113540894
53,1621623.778095793,793274.5134075803,654715.2736737167,218832.9609656323,92960.50151540858,237498.05149740772
54,3153550.362994518,1625889.2124530398,1393612.2635342684,582313.1761008794,318399.47470479313,734823.7614670257
55,2070172.767752871,1060625.8445250862,876183.3532817813,298152.56317875936,150842.9309989972,373111.27883801464
56,2341501.2657814873,1163801.1090329157,1001483.3942659997,409268.9188286624,204832.03917598494,473386.4148029438
57,2345338.2892925385,1220900.4662585016,967444.362566852,295243.0342332773,145876.01959681435,368271.69038002845
58,1781775.0471695876,857871.312928179,717246.7233811358,244292.00714423336,99641.06419927142,253427.3104919803
59,2653400.5192085886,1457035.2697759846,1175850.8123002136,406518.464033137,245151.34553243092,583637.5505799317
60,3101108.414040376,1593463.1184217269,1386768.8670005773,585398.8915746461,323776.52500992134,739649.3293806484
61,3318216.8214716194,1714731.6420152271,1492482.532844653,619876.5118157283,347353.34865170566,807477.970507765
62,2776027.0894626384,1468467.8185120807,1258978.709392063,488400.6493988584,286260.3205120949,671742.7558812207
63,1710825.7958771773,894182.1804773462,728839.5687782846,293534.9819030536,155779.77657223112,356495.68222040706
64,1877466.2546396866,1099556.7644434418,957191.3527453311,424578.8103742621,299016.3635937072,670157.3239840139
65,2870609.3858907167,1617212.0231742363,1338115.6604642938,530581.0664686799,341438.5163098081,787501.6518211375
66,2486879.0859604874,1219799.4047961219,1024930.6798059689,368970.25051529333,167217.34399197996,409009.4029282711
67,2967512.9894888904,1603306.8752742915,1438097.4756263457,670332.7121443152,418806.6053268347,939388.2102206458
68,3190617.35828388,1803958.551426904,1504925.9945942846,563845.1976309153,372676.5885083468,870893.8361291233
69,2365633.847636069,1270078.7495220606,1025412.1909705374,355271.4837372378,201653.49586053425,484312.9049743476
70,2672079.395506467,1366558.6487706946,1168771.7270484732,449842.1924766543,240565.94722762637,570260.3846378037
71,2246137.7119050804,1122453.3895812922,1002700.8687771969,429862.4568616346,229922.19512362752,529617.1210281684
72,2125427.033970033,1088779.038637645,897404.0040921617,323225.2000863104,164196.79897912047,394351.4596694118
73,3208259.041238793,1640194.689853315,1376910.2783398908,520225.35762391886,270001.91412504565,643134.0154195676
74,1922230.0953241726,1084867.9699264702,870512.9779130591,355265.20550903946,223133.500132994,499663.11097252066
75,1695091.376539693,840042.3682268498,712703.9133846846,263669.45648825006,126408.46588819215,304443.1299349756
76,1799161.6028100953,875929.2249596163,720374.763362702,290120.5737964038,126079.30506841216,288638.94228293246
77,1511149.9661695447,794605.8891747374,618916.4636307163,191765.86921407896,95491.89255019528,235168.03939310802
78,1680715.590813823,929532.2572400449,784013.3753156746,301979.60372689954,192090.4504356507,447300.555431431
79,2039453.9793609716,1039162.5976677728,823370.7229391397,246063.62482703372,111062.95312568228,285904.82845835434
80,2885398.3526083375,1719173.7340815896,1457486.3352423576,638379.8719761699,455401.14028886874,1013546.4323619336
81,2308643.678912822,1258580.0369937704,1028605.1023010521,354796.3196818077,212922.87072414093,506113.9770269931
82,2226094.4892578344,1247975.8661047127,1061993.9927317468,441764.01003122533,287091.742224669,654430.056510883
83,4021841.47812541,2371932.8810792617,1979670.3549488068,819783.1544072736,575945.5492441456,1305099.4815747514
84,1881833.5145073982,931449.2704282309,793051.0805761442,293225.6868147979,141531.68579197125,344765.01828136947
85,2855688.6751824226,1496515.3108260345,1233773.1327475253,455074.8662286646,246997.41107350207,587198.9223529799
86,2685372.651658635,1352358.5510588863,1115647.2677371595,409479.54507429915,196820.82325771014,470835.959806958
87,2800413.941053966,1524560.764639983,1306745.9048811423,533477.5501813258,330247.56834932446,760447.8087812873
88,2583139.384280368,1514916.180090574,1245941.5969336277,523586.3994347915,358210.70121574507,807819.1815232299
89,2330658.6331408056,1166878.2619100793,1016591.9725647739,428540.4902290484,222837.54851387878,514868.47692521766
90,3037533.5497211353,1531540.3180398017,1309054.8790971607,498258.21087124135,256623.22009050017,610963.8663915576
91,1385819.5695021634,767080.8367195252,608401.0956795671,207321.83771476027,125627.69631694621,296678.2724222683
92,2918320.886527582,1415315.4274610968,1219381.891153248,463508.8807684616,215008.15264812086,513645.5497499094
93,1653663.1448156128,842773.4628200814,679040.9275654809,215565.04340802363,102363.02125426644,254069.80263139482
94,2240090.264403028,1088939.2833026224,922182.0587643437,330279.3084376643,146246.00079936674,366106.49918133445
95,2867220.5146104647,1582713.516292319,1377994.1128326203,609293.269405503,389583.5941595501,873284.4039808839
96,2675577.8275718163,1465916.9904176637,1220922.5079343833,493445.9015317476,301649.4561633594,684338.2604661189
97,3844499.5721321935,2220035.041390495,1920060.38926191,863754.1649373557,590416.3977990414,1314885.670424066
98,2490641.7988251317,1212936.02727292,1026291.82207094,399050.7784900568,181196.2097236461,424289.26414093655
99,1700992.0650922228,869412.2533859797,729670.3367648681,290430.437213704,151654.12983984122,348161.43425714487
100,2159588.1108616814,1136725.077748984,908097.6890047716,283565.9310656393,147506.7272508248,374861.87629736576
101,2844028.979947917,1539403.265726266,1415389.7105073638,694366.2672287035,441785.37127616786,977607.4340003137
102,2371998.745873531,1172267.2002000334,967553.6449082517,372616.62404175434,170137.60926687083,403226.82952236047
103,3080160.7521002055,1596665.5823465541,1324423.8164769872,478764.22996609984,253819.14287356206,611559.2979644282
104,2349293.9277091916,1131500.098955499,975728.6980524935,369660.60195440054,167126.22337155775,403573.58313972235
105,2611512.7513225437,1459261.7614129041,1273707.821326464,535114.5460761827,354003.63760697684,805801.6546533605
106,1579512.022081107,892922.9993255467,749806.2037026689,302935.3381725504,199587.84259934325,457207.92373049527
107,2580327.7155235168,1223129.817846701,1037825.0102936893,381677.1872815262,155762.90189761325,379015.7449122143
108,2654229.8076956,1343716.1747133215,1149552.614455467,447047.08673112013,232663.1708701335,552909.6558291598
109,2329882.5910347607,1225274.6682588512,1017785.7227971489,366018.11890339525,203591.63973607137,490157.8649834125
110,2172947.796419534,1094877.9665603663,901794.1380730219,306131.74210494646,145604.4018139482,363465.7950059418
111,2601445.4917074847,1392957.857569935,1124606.5680314244,383556.6947076259,215298.7567444432,520210.07644546154
112,2285693.8010548786,1416336.3782216825,1222428.6763563992,576751.1135540289,430446.8992613612,951675.9044845308
